reg,11/03/2021,12/03/2021,13/03/2021
Andalucía,122.05,122.05,122.05
Aragón,147.58,147.58,147.58
Asturias,177.75,177.75,177.75
Baleares,48.11,48.11,48.11
Canarias,116.84,116.84,116.84
Cantabria,96.2,96.2,96.2
Castilla La Mancha,76.2,76.2,76.2
Castilla y León,113.77,113.77,113.77
Cataluña,166.28,166.28,166.28
Ceuta,283.1,283.1,283.1
C. Valenciana,50.56,50.56,50.56
Extremadura,46.08,46.08,46.08
Galicia,77.46,77.46,77.46
Madrid,224.84,224.84,224.84
Melilla,430.12,430.12,430.12
Murcia,69.48,69.48,69.48
Navarra,124.12,124.12,124.12
País Vasco,175.52,175.52,175.52
La Rioja,74.81,74.81,74.81
ESPAÑA,130.51,130.51,130.51
